yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
13/05/1988, 11:18:45.3,51.784,-3.633,0.5507252954875124,-0.33179907820789434,4.0,0.1, ,, ABERCRAF,POWYS
28/05/1988, 03:51:41.5,52.182,-3.003,0.7207765786971354,-0.6793497206186141,14.0,0.4, ,, KINGTON,HER & WORC
02/06/1988, 21:46:37.0,51.714,-3.368,-0.4802106089708284,-0.6793497206186141,7.0,0.3, ,, ABERDARE,MID GLAMORGAN
09/06/1988, 13:36:00.3,52.085,-4.075,-0.8628259961924806,-0.8531250418239738,14.0,0.4, ,, LAMPETER,DYFED
06/07/1988, 05:09:16.3,51.731,-5.062,-0.5227234297732342,0.8846281702296254,32.0,0.8, ,, MILFORD HAVEN,DYFED
25/07/1988, 12:18:22.4,51.704,-3.162,0.28502016547247616,-1.0269003630293339,4.0,0.0, ,, ABERTILLERY,GWENT
30/07/1988, 19:21:26.0,51.947,-3.139,-0.44832599336902396,-0.8531250418239738,7.0,0.3, ,, HAY-ON-WYE,HER & WORC
07/08/1988, 12:18:00.2,52.035,-3.086,-0.12947983735098045,-0.8531250418239738,9.0,0.2, ,, HAY-ON-WYE,HER & WORC
11/08/1988, 15:34:23.7,52.04,-3.083,-0.2995311205606037,-0.6793497206186141,13.0,0.2, ,, HAY-ON-WYE,HER & WORC
11/08/1988, 15:39:18.2,52.044,-3.064,-0.21450547895579214,-0.8531250418239738,12.0,0.2, ,, HAY-ON-WYE,HER & WORC
20/09/1988, 16:16:56.2,51.692,-3.289,-1.1285311262075168,-1.0269003630293339,6.0,0.2,3,, SE MERTHYR TYD,POWYS
24/09/1988, 21:36:23.5,51.779,-2.824,0.6782637578947297,-0.6793497206186141,5.0,0.2, ,, MONMOUTH,GLOUCS
13/10/1988, 12:17:50.6,51.69,-3.191,1.3584688907332223,-0.8531250418239738,4.0,0.2, ,, MERTHYR VALE,MID GLAM
18/03/1989, 13:56:51.1,52.19,-3.234,-0.3633003517642124,0.015751564202825776,13.0,0.3, ,, GLADESTRY,POWYS
24/03/1989, 00:49:00.9,51.685,-3.258,-1.086018305405111,-0.1580237570025343,5.0,0.2,2,, BARGOED,MID GLAMORGAN
08/04/1989, 16:54:09.8,51.826,-4.091,-0.6396336869798501,-0.8531250418239738,9.0,0.1, ,, LLANELLI,DYFED
03/05/1989, 15:33:22.5,51.991,-3.584,0.6357509370923241,-0.505574399413254,4.0,0.0, ,, BRECON,POWYS
24/07/1989, 12:05:17.3,51.472,-3.399,-0.31015932576120514,-0.33179907820789434,3.0,1.4, ,, YSTRADOWEN,S GLAMORGAN
28/09/1989, 12:23:05.4,51.814,-3.091,1.230930428326005,-0.33179907820789434,4.0,0.2, ,, ABERGAVENNY,GWENT
29/11/1989, 05:33:18.1,52.093,-2.671,-0.10822342694977763,-0.505574399413254,4.0,0.0, ,, HEREFORD,HER & WORC
10/01/1990, 07:35:00.1,51.63,-2.95,0.9120842723079615,0.18952688540818546,5.0,, ,, CAERLEON,GWENT
29/05/1990, 08:08:50.7,52.004,-2.891,0.9014560671073603,-0.8531250418239738,8.0,0.1, ,, ELLESMERE,SHROPSHIRE
21/06/1990, 01:48:43.7,51.661,-3.07,-0.9478516377972922,0.18952688540818546,6.0,0.2, ,, CWMBRAN,GWENT
19/10/1990, 09:46:22.1,51.688,-3.252,-1.1285311262075168,-0.6793497206186141,7.0,0.3,2,, HENGOED,MID GLAMORGAN
25/10/1990, 14:28:06.5,51.571,-3.482,0.4550714486820993,-0.8531250418239738,4.0,0.2, ,, BRIDGEND,MID GLAMORGAN
20/11/1990, 17:14:14.9,51.687,-3.272,-1.1072747158063139,-0.6793497206186141,5.0,0.3,2,, GELLIGAER,SOUTH WALES
03/12/1990, 01:17:08.5,51.806,-3.47,0.3700458070772876,0.015751564202825776,9.0,0.4, ,, ABERDARE,MID GLAMORGAN
08/12/1990, 00:35:03.1,51.709,-3.267,-1.1285311262075168,0.015751564202825776,6.0,0.5, ,, RHONNDA,MID GLAMORGAN
13/12/1990, 21:58:59.5,51.374,-3.176,-1.1285311262075168,0.3633022066135455,10.0,0.7, ,, BRISTOL CHANNEL,
09/01/1991, 01:28:14.7,51.67,-3.29,-0.8521977909918791,-0.6793497206186141,3.0,,3,, GELLIGAER,M GLAMORGAN
28/03/1991, 01:50:59.2,51.469,-3.515,0.21062272906826587,0.8846281702296254,11.0,0.2, ,, BRISTOL CHANNEL,
03/04/1991, 19:45:55.1,51.93,-3.183,0.6995201682959326,-1.0269003630293339,3.0,0.0, ,, EARDISLEY,HEREFORD
04/04/1991, 04:16:42.5,51.678,-3.066,-1.1285311262075168,0.7108528490242653,15.0,0.3, ,, PONTYWAUN,GWENT
19/06/1991, 22:07:09.5,51.545,-3.189,-0.33141573616240805,-1.0269003630293339,9.0,0.2, ,, CAERPHILLY,M GLAMORGAN
14/08/1991, 13:22:40.9,52.038,-3.582,-0.12947983735098045,0.8846281702296254,18.0,0.3, ,, BRECON,POWYS
22/08/1991, 18:37:33.8,51.895,-4.178,-0.6183772765786472,0.18952688540818546,14.0,0.4, ,, CARMARTHEN,DYFED
30/11/1991, 14:41:51.1,51.5,-4.408,0.731404783897737,0.8846281702296254,19.0,0.3, ,, BRISTOL CHANNEL,
16/02/1992, 12:41:06.9,51.542,-3.169,0.8801996567061571,-0.505574399413254,,, ,, CARDIFF,S GLAMORGAN
13/03/1992, 23:26:12.5,51.71,-3.289,-1.1179029210069154,-0.1580237570025343,6.0,0.1, ,, BEDLINOG,MID GLAMORGAN
01/04/1992, 03:32:28.4,52.072,-3.444,0.5826099110893168,-0.8531250418239738,6.0,0.1, ,, BUILTH WELLS,POWYS
11/04/1992, 06:45:38.2,51.643,-3.103,0.5188406798857079,0.18952688540818546,12.0,0.2, ,, ABERCARN,GWENT
11/04/1992, 06:54:30.3,51.633,-3.098,0.48695606428390353,-0.6793497206186141,4.0,0.0, ,, ABERCARN,GWENT
20/04/1992, 22:20:26.6,51.695,-3.552,-0.001941374943763126,-0.8531250418239738,10.0,0.1, ,, TREHERBERT,M GLAMORGAN
23/04/1992, 13:10:44.8,51.99,-5.382,-0.21450547895579214,0.7108528490242653,15.0,0.4, ,, ST GEORGE'S CHANNEL,
13/05/1992, 08:55:52.4,51.663,-3.103,0.5613535006881138,-0.1580237570025343,4.0,0.0, ,, NEWBRIDGE,GWENT
27/05/1992, 23:15:20.1,51.609,-2.929,0.7739176047001426,-1.0269003630293339,4.0,0.2, ,, NEWPORT,GWENT
08/07/1992, 08:59:58.8,51.936,-2.673,0.8483150411043531,0.8846281702296254,27.0,0.2, ,, ROSS-ON-WYE,HER & WOR
17/08/1992, 00:53:35.1,51.684,-3.26,-1.1179029210069154,1.0584034914349854,21.0,0.3,5,, BARGOED,MID GLAMORGAN
21/08/1992, 16:46:42.1,51.878,-2.747,0.28502016547247616,0.18952688540818546,15.0,0.2, ,, MONMOUTH,GWENT
31/08/1992, 20:49:19.4,51.711,-3.303,-1.1179029210069154,-0.8531250418239738,4.0,0.1, ,, BEDLINOG,MID GLAMORGAN
07/10/1992, 08:57:20.3,51.831,-3.494,0.28502016547247616,-0.33179907820789434,7.0,0.1, ,, M TYDFIL,MID GLAMORGAN
07/10/1992, 09:25:31.9,51.82,-3.485,-0.14010804255158185,-0.8531250418239738,6.0,0.0, ,, M TYDFIL,MID GLAMORGAN
18/12/1992, 16:00:14.1,51.954,-3.434,0.5188406798857079,-0.6793497206186141,4.0,0.1, ,, BRECON,POWYS
09/02/1993, 13:02:33.5,51.557,-3.068,-0.055082400946770374,-0.1580237570025343,7.0,0.3, ,, CARDIFF,S GLAMORGAN
18/03/1993, 02:31:43.3,51.615,-3.283,-0.06571060614737179,-0.33179907820789434,10.0,0.3, ,, SENGHENYDD,M GLAMORGAN
01/05/1993, 18:36:21.4,51.877,-4.543,-0.37392855696481386,-0.505574399413254,13.0,0.3, ,, MEIDRIM,DYFED
10/07/1993, 17:21:27.9,51.863,-4.915,0.15748170306525863,0.015751564202825776,17.0,0.2, ,, HAVERFORDWEST,DYFED
13/09/1993, 19:02:55.6,52.022,-3.524,0.41255862787969344,-0.6793497206186141,6.0,0.1, ,, BRECON,POWYS
15/12/1993, 15:30:42.8,51.675,-3.26,-1.1179029210069154,-0.6793497206186141,6.0,0.1, ,, BARGOED,MID GLAMORGAN
24/12/1993, 19:45:45.8,51.791,-2.995,0.5826099110893168,-0.33179907820789434,13.0,0.2, ,, ABERGAVENNY,GWENT
31/12/1993, 21:20:58.6,51.604,-3.602,-0.7352875337852631,0.3633022066135455,14.0,0.2, ,, PONTYCYMER,W GLAMORGAN
