yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
25/12/1998, 08:49:44.1,51.809,-3.983,1.829199925624414,-0.21657374009614416,,, ,, AMMANFORD,DYFED
03/03/1999, 23:02:44.2,51.73,-3.259,-1.2402525580814951,-0.9956512214374769,,, ,, NEW TREDEGAR,MID GLAM
08/03/1999, 01:19:51.2,51.711,-3.304,-0.9250114921873748,-0.8398357251692101,,, ,, BEDLINOG,MID GLAMORGAN
18/03/1999, 02:38:22.1,51.714,-3.296,-0.9747863973285517,-0.8398357251692101,,, ,, BEDLINOG,MID GLAMORGAN
09/07/1999, 14:31:11.9,51.697,-3.219,-0.9416031272344337,0.4066882449769218,,,3,, BARGOED,MID GLAMORGAN
30/07/1999, 09:31:12.3,51.689,-3.201,-0.22816282021089804,1.6532122151230544,,, ,, BARGOED,MID GLAMORGAN
30/07/1999, 22:43:17.8,51.691,-3.188,-0.21157118516383913,-0.5282047326326772,,, ,, BARGOED,MID GLAMORGAN
31/07/1999, 07:33:48.5,51.695,-3.212,-0.07883810478736743,-0.8398357251692101,,, ,, BARGOED,MID GLAMORGAN
13/08/1999, 05:28:58.6,51.689,-3.215,-0.06224646974030837,0.7183192375134552,,, ,, BARGOED,MID GLAMORGAN
20/01/2000, 14:10:51.0,51.614,-3.625,0.6014189321420503,0.2508727487086555,,, ,, MAESTEG,MID GLAMORGAN
22/03/2000, 01:35:09.1,51.684,-3.23,-1.1241111127520824,-0.37238923636441085,,, ,, BARGOED,MID GLAMORGAN
21/04/2001, 14:35:54.2,51.594,-3.301,1.5139588597302933,0.4066882449769218,,, ,, PONTYPRIDD,GWENT
09/05/2001, 23:31:17.4,51.752,-3.735,2.194215896659711,-0.6840202289009438,,, ,, YSTRADGYNLAIS,POWYS
16/09/2001, 02:44:31.4,51.742,-4.134,0.9498432681302886,0.2508727487086555,,, ,, LLANELLI,DYFED
10/10/2001, 02:52:25.3,51.698,-3.255,-0.21157118516383913,2.2764742001961205,,,4,, BARGOED,MID GLAMORGAN
10/10/2001, 05:01:48.0,51.7,-3.253,-0.4106708057285468,-0.0607582438278775,,, ,, BARGOED,MID GLAMORGAN
18/10/2001, 03:50:13.6,51.703,-3.255,0.02071170549498647,1.3415812225865211,,,4,, BARGOED,MID GLAMORGAN
22/10/2001, 15:16:48.3,51.702,-3.254,-0.029063199646190554,-0.0607582438278775,,, ,, BARGOED,MID GLAMORGAN
28/01/2002, 00:30:09.2,51.702,-3.258,-0.44385407582266473,0.09505725244038882,,, ,, BARGOED,MID GLAMORGAN
