yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county,
10/02/2017, 02:13:46.3,52.417,-2.734,7.7,0.3,6,0.2, , , LUDLOW,SHROPSHIRE,
09/09/2018, 03:48:29.8,53.313,-3.801,6.8,0.3,5,0.3, , , LLANDUDNO,CONWY,
14/12/2018, 05:26:17.3,52.987,-3.574,10.9,0.3,4,0, , , LLANGWM,CONWY,
09/05/2019, 12:41:50.6,53.153,-4.085,17.8,0.3,4,0, , , BETHESDA,GWYNEDD,
16/10/2019, 19:59:29.1,52.535,-3.449,7.1,0.3,6,0.1, , , LLANWNOG,POWYS,
25/04/2021, 06:34:54.4,53.471,-3.711,4.7,0.3,4,0.2, , , IRISH SEA,,
27/02/2023, 04:39:33.0,51.838,-3.246,5.2,0.3,2,0.1, , , BRYNMAWR,GWENT,
28/02/2023, 16:49:45.7,51.838,-3.246,5.2,0.3,2,0.1, , , BRYNMAWR,GWENT,
20/05/1983, 01:03:43.8,52.126,-2.756,7.3,0.4,4,0.1, , , WELLINGTON,HERFD&WOR,
05/03/1985, 11:55:39.5,52.989,-4.376,20.3,0.4,4,0, , , LLEYN PENIN, NW WALES,
09/07/1986, 18:23:19.2,53.013,-4.442,12.5,0.4,12,0.1, , , N.W OF TREVOR,LLEYN,
11/08/1986, 04:50:27.6,51.802,-3.319,2.5,0.4,4,0.2, , , MERTHYR TYDFIL,M GLAM,
01/11/1986, 20:50:42.8,52.305,-3.631,15,0.4,3,0, , , CLAERWEN RESR,POWYS,
16/01/1987, 09:06:54.1,52.945,-4.364,17.2,0.4,5,0.2, , , LLEYN AFTERSHOCK,,
15/05/1987, 05:42:01.2,52.964,-4.386,19.6,0.4,8,0.2, , , LLEYN AFTERSHOCK,,
18/06/1987, 06:45:39.3,52.966,-4.384,20.7,0.4,10,0.2, , , LLEYN AFTERSHOCK,,
27/02/1988, 05:41:47.1,52.895,-3.509,7.9,0.4,5,0.2, , , LAKE BALA,GWYNEDD,
01/06/1988, 07:03:03.2,52.941,-4.376,20.1,0.4,5,0.2, , , LLEYN PEN,GWYNEDD,
16/07/1988, 02:02:54.3,52.972,-4.387,19.9,0.4,9,0.3, , , LLEYN PEN,GWYNEDD,
25/11/1988, 00:35:19.2,52.953,-4.377,18.4,0.4,6,0.2, , , LLEYN PEN,GWYNEDD,
22/04/1991, 15:10:48.1,52.013,-3.664,1.9,0.4,6,0.3, , , HALFWAY,DYFED,
22/06/1993, 09:59:33.6,52.959,-4.37,23.1,0.4,8,0.1, , , LLEYN PENINSULA,,
06/07/1993, 05:42:51.6,52.271,-2.594,12.8,0.4,6,0.2, , , TENBURY WELLS,HER & WOR,
24/07/1993, 13:26:33.1,51.836,-2.879,9.3,0.4,3,0.2, , , ABERGAVENNY,GWENT,
01/10/1993, 07:14:01.2,52.97,-4.402,21.6,0.4,9,0.1, , , LLEYN PENINSULA,,
25/02/1994, 21:31:02.8,52.964,-4.375,19.9,0.4,6,0.1, , , LLEYN PENIN,GWYNEDD,
06/08/1994, 23:07:01.6,51.901,-2.685,13.8,0.4,7,0.3, , , ROSS-ON-WYE,HER & WOR,
30/07/1995, 07:59:35.5,52.855,-4.199,10,0.4,5,0, , , LLEYN PENIN,GWYNEDD,
23/05/1997, 04:36:49.7,52.927,-4.542,14.7,0.4, , , , , PWLLHELI,GWYNEDD,
30/08/1998, 06:54:17.3,53.103,-4.349,16.3,0.4, , , , , CAENARVON BAY,GWYNEDD,
11/05/1999, 05:15:35.7,52.928,-3.981,8.4,0.4, , , , , FFESTINIOG,GWYNEDD,
